task_id,group,convention,refactor,warning,error,score,total_messages,cyclomatic_complexity,maintainability_index,loc,sloc,lloc
HumanEval/0,human,2,0,0,0,7.78,2,5,95.61,19,9,10
HumanEval/0,claude,3,0,0,0,5.71,3,4,95.21,16,7,8
HumanEval/4,human,2,0,0,0,5.0,2,2,80.59,14,4,5
HumanEval/4,claude,2,0,0,0,5.0,2,2,80.59,14,4,5
HumanEval/8,human,3,0,0,0,6.25,3,2,98.19,18,8,9
HumanEval/8,claude,3,0,0,0,6.25,3,2,98.19,17,8,9
HumanEval/12,human,2,1,0,0,6.25,3,5,96.7,20,8,9
HumanEval/12,claude,2,0,0,0,7.78,2,4,97.32,20,9,10
HumanEval/16,human,3,0,0,0,0.0,3,1,100.0,10,2,3
HumanEval/16,claude,3,0,0,0,0.0,3,1,100.0,10,2,3
HumanEval/20,human,3,0,0,0,8.0,3,6,89.0,27,16,17
HumanEval/20,claude,3,0,0,0,7.27,3,3,92.52,20,11,12
HumanEval/24,human,2,1,0,0,2.5,3,3,100.0,10,4,5
HumanEval/24,claude,2,0,0,0,6.0,2,3,99.9,11,5,6
HumanEval/28,human,2,0,0,0,3.33,2,1,100.0,11,3,4
HumanEval/28,claude,2,0,0,0,3.33,2,1,100.0,11,3,4
HumanEval/32,human,2,1,0,0,7.86,3,4,82.77,34,15,17
HumanEval/32,claude,2,1,0,0,8.12,3,4,82.64,38,17,19
HumanEval/36,human,3,0,0,0,7.0,3,5,91.22,20,10,11
HumanEval/36,claude,3,0,0,0,5.0,3,4,88.08,16,6,7
HumanEval/40,human,3,0,0,0,5.71,3,5,70.78,25,7,8
HumanEval/40,claude,3,0,0,0,5.71,3,5,70.78,25,7,8
HumanEval/44,human,2,0,0,0,6.67,2,2,83.38,18,6,7
HumanEval/44,claude,2,0,0,0,7.5,2,3,89.56,20,8,9
HumanEval/48,human,3,0,0,0,4.0,3,3,74.59,18,5,6
HumanEval/48,claude,2,0,0,0,0.0,2,1,50.35,15,2,4
HumanEval/52,human,2,0,0,0,6.0,2,3,100.0,13,5,6
HumanEval/52,claude,2,0,0,0,0.0,2,2,71.93,10,2,3
HumanEval/56,human,2,0,0,0,7.78,2,4,89.09,24,10,11
HumanEval/56,claude,2,0,0,0,7.78,2,4,89.09,24,10,11
HumanEval/60,human,2,0,0,0,0.0,2,1,57.38,16,2,3
HumanEval/60,claude,2,0,0,0,0.0,2,1,57.38,16,2,3
HumanEval/64,human,2,0,0,0,7.14,2,4,90.57,22,9,8
HumanEval/64,claude,2,0,0,0,7.5,2,4,95.95,23,10,9
HumanEval/68,human,8,0,0,0,0.0,8,3,38.63,39,5,9
HumanEval/68,claude,3,0,0,0,7.27,3,6,59.34,45,11,12
HumanEval/72,human,3,0,0,0,7.0,3,4,84.52,29,10,11
HumanEval/72,claude,3,0,0,0,2.5,3,2,58.46,22,4,5
HumanEval/76,human,11,0,0,0,0.0,11,3,83.66,19,7,8
HumanEval/76,claude,2,0,0,0,7.78,2,4,88.26,21,9,10
HumanEval/80,human,3,0,3,0,1.43,6,6,79.74,21,7,8
HumanEval/80,claude,2,0,0,0,7.14,2,4,83.69,19,7,8
HumanEval/84,human,3,0,0,0,0.0,3,2,100.0,16,2,4
HumanEval/84,claude,3,0,0,0,0.0,3,2,100.0,17,3,6
HumanEval/88,human,4,0,0,0,0.0,4,2,50.08,17,2,3
HumanEval/88,claude,3,0,0,0,5.0,3,3,75.51,21,6,7
HumanEval/92,human,4,0,0,0,3.33,4,7,79.65,25,6,7
HumanEval/92,claude,3,0,0,0,2.5,3,5,66.43,22,4,5
HumanEval/96,human,3,0,0,0,7.27,3,5,94.33,23,11,12
HumanEval/96,claude,2,0,0,0,8.18,2,5,91.33,22,11,12
HumanEval/100,human,2,0,0,0,0.0,2,2,53.65,16,2,3
HumanEval/100,claude,2,0,0,0,6.0,2,2,71.29,19,5,6
HumanEval/104,human,2,0,0,0,6.67,2,4,89.29,18,6,7
HumanEval/104,claude,2,0,0,0,6.67,2,4,89.29,18,6,7
HumanEval/108,human,4,0,0,0,5.56,4,2,88.38,18,8,11
HumanEval/108,claude,2,0,0,0,7.14,2,3,88.53,18,7,9
HumanEval/112,human,3,0,0,0,0.0,3,3,57.19,14,3,5
HumanEval/112,claude,3,0,0,0,0.0,3,3,57.19,14,3,5
HumanEval/116,human,2,0,0,0,0.0,2,1,100.0,13,2,4
HumanEval/116,claude,2,0,0,0,5.0,2,1,100.0,16,4,6
HumanEval/120,human,2,0,0,0,6.67,2,2,63.11,31,6,8
HumanEval/120,claude,2,0,0,0,5.0,2,2,49.31,29,4,6
HumanEval/124,human,3,0,1,0,7.5,4,13,81.73,37,16,17
HumanEval/124,claude,3,0,0,0,8.33,3,13,82.47,41,18,19
HumanEval/128,human,3,1,0,0,2.0,4,4,64.6,16,4,7
HumanEval/128,claude,2,0,0,0,8.33,2,5,89.76,24,12,13
HumanEval/132,human,4,0,0,0,7.5,4,6,87.44,32,17,18
HumanEval/132,claude,2,0,0,0,8.18,2,8,87.08,24,11,12
HumanEval/136,human,2,0,0,0,5.0,2,3,69.68,16,4,7
HumanEval/136,claude,2,0,0,0,6.67,2,7,86.22,18,6,7
HumanEval/140,human,2,0,0,0,8.95,2,7,80.66,32,21,22
HumanEval/140,claude,2,0,0,0,8.82,2,7,88.11,29,18,19
HumanEval/144,human,3,0,0,0,6.25,3,2,90.58,20,8,9
HumanEval/144,claude,2,0,0,0,6.67,2,1,86.7,18,6,7
HumanEval/148,human,4,1,0,0,4.44,5,5,78.16,26,10,13
HumanEval/148,claude,2,0,0,0,7.5,2,3,75.34,24,8,10
HumanEval/152,human,4,0,0,0,0.0,4,2,55.66,17,2,3
HumanEval/152,claude,4,0,0,0,0.0,4,2,55.66,17,2,3
HumanEval/156,human,10,0,0,0,2.31,10,3,91.7,26,15,14
HumanEval/156,claude,2,0,0,0,7.78,2,3,95.87,20,9,10
HumanEval/160,human,2,0,1,0,4.0,3,2,50.1,30,5,6
HumanEval/160,claude,2,0,1,0,4.0,3,2,53.37,30,5,6
